Country,Region_Grid,Publisher,Data_Vintage,Method,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Applicability_Wind_Solar,Applicability_Other,Crediting_Period_1,Crediting_Period_2,Crediting_Period_3,Notes,Sources,URLs
Indonesia,Sulselbar,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71599999999999997,NA,0.66,NA,0.71,0.38800000000000001,0.601,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Sulselbar,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72299999999999998,NA,0.66700000000000004,NA,0.746,0.36399999999999999,0.605,0.39700000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Sulbangteng,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Sulbangteng,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Kendari,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80600000000000005,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Kendari,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84199999999999997,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Bau Bau,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.627,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Bau Bau,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9770000000000001,NA,0.69599999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Kolaka,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Kolaka,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70799999999999996,NA,0.71199999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Lambuya,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.624,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Lambuya,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70799999999999996,NA,0.72699999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Wangi Wangi,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67800000000000005,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Wangi Wangi,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63500000000000001,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Raha,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67700000000000005,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Raha,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58899999999999997,NA,0.72099999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Sulutenggo,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89100000000000001,NA,NA,NA,NA,NA,NA,NA,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Sulutenggo,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88600000000000001,NA,NA,NA,NA,NA,NA,NA,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA
