"","PV_SYSTEM_SIZE","TARGET_REDUCTION","country","co2_emissions_g","ef_kgco2_per_kwh","ef_gco2_per_kwh","daily_pv_average","yearly_pv","solar_capacity_factor","annual_pv_electricity_per_home","co2_avoided_per_home","homes_required"
"51",5,0.1,"Brunei",4607671170655.3,NA,NA,3.81,1390.65,0.15875,6953.25,NA,NA
"52",5,0.1,"Cambodia",4543344790472.7,0.58586,585.86,4.09,1492.85,0.170416666666667,7464.25,4373005.505,103895.245164406
"53",5,0.1,"Indonesia",269898787866100,0.777714754098361,777.714754098361,3.67,1339.55,0.152916666666667,6697.75,5208938.99426229,5181454.19179216
"54",5,0.1,"Laos",16285951096238,0.574320952380952,574.320952380952,3.73,1361.45,0.155416666666667,6807.25,3909546.30309524,416568.824964273
"55",5,0.1,"Malaysia",116864051022130,0.670339024390244,670.339024390244,3.71,1354.15,0.154583333333333,6770.75,4538697.94939025,2574836.49110931
"56",5,0.1,"Myanmar",8734783418054.1,0.3948,394.8,4.01,1463.65,0.167083333333333,7318.25,2889245.1,302320.610254011
"57",5,0.1,"Philippines",82743445385673,0.516001886792453,516.001886792453,3.8,1387,0.158333333333333,6935,3578473.08490566,2312255.63033275
"58",5,0.1,"Singapore",20002968096321,0.486233333333333,486.233333333333,3.55,1295.75,0.147916666666667,6478.75,3150184.20833333,634977.727442293
"59",5,0.1,"Thailand",80124643758684,0.548340384615384,548.340384615384,4.02,1467.3,0.1675,7336.5,4022899.23173077,1991713.91435057
"60",5,0.1,"Vietnam",155307569551290,0.602955020161292,602.955020161292,3.44,1255.6,0.143333333333333,6278,3785351.61657259,4102857.15259159
"61",10,0.01,"Brunei",4607671170655.3,NA,NA,3.81,1390.65,0.15875,13906.5,NA,NA
"62",10,0.01,"Cambodia",4543344790472.7,0.58586,585.86,4.09,1492.85,0.170416666666667,14928.5,8746011.01,5194.76225822028
"63",10,0.01,"Indonesia",269898787866100,0.777714754098361,777.714754098361,3.67,1339.55,0.152916666666667,13395.5,10417877.9885246,259072.709589608
"64",10,0.01,"Laos",16285951096238,0.574320952380952,574.320952380952,3.73,1361.45,0.155416666666667,13614.5,7819092.60619048,20828.4412482136
"65",10,0.01,"Malaysia",116864051022130,0.670339024390244,670.339024390244,3.71,1354.15,0.154583333333333,13541.5,9077395.89878049,128741.824555465
"66",10,0.01,"Myanmar",8734783418054.1,0.3948,394.8,4.01,1463.65,0.167083333333333,14636.5,5778490.2,15116.0305127005
"67",10,0.01,"Philippines",82743445385673,0.516001886792453,516.001886792453,3.8,1387,0.158333333333333,13870,7156946.16981132,115612.781516637
"68",10,0.01,"Singapore",20002968096321,0.486233333333333,486.233333333333,3.55,1295.75,0.147916666666667,12957.5,6300368.41666667,31748.8863721147
"69",10,0.01,"Thailand",80124643758684,0.548340384615384,548.340384615384,4.02,1467.3,0.1675,14673,8045798.46346153,99585.6957175287
"70",10,0.01,"Vietnam",155307569551290,0.602955020161292,602.955020161292,3.44,1255.6,0.143333333333333,12556,7570703.23314519,205142.857629579
"71",10,0.05,"Brunei",4607671170655.3,NA,NA,3.81,1390.65,0.15875,13906.5,NA,NA
"72",10,0.05,"Cambodia",4543344790472.7,0.58586,585.86,4.09,1492.85,0.170416666666667,14928.5,8746011.01,25973.8112911014
"73",10,0.05,"Indonesia",269898787866100,0.777714754098361,777.714754098361,3.67,1339.55,0.152916666666667,13395.5,10417877.9885246,1295363.54794804
"74",10,0.05,"Laos",16285951096238,0.574320952380952,574.320952380952,3.73,1361.45,0.155416666666667,13614.5,7819092.60619048,104142.206241068
"75",10,0.05,"Malaysia",116864051022130,0.670339024390244,670.339024390244,3.71,1354.15,0.154583333333333,13541.5,9077395.89878049,643709.122777327
"76",10,0.05,"Myanmar",8734783418054.1,0.3948,394.8,4.01,1463.65,0.167083333333333,14636.5,5778490.2,75580.1525635027
"77",10,0.05,"Philippines",82743445385673,0.516001886792453,516.001886792453,3.8,1387,0.158333333333333,13870,7156946.16981132,578063.907583187
"78",10,0.05,"Singapore",20002968096321,0.486233333333333,486.233333333333,3.55,1295.75,0.147916666666667,12957.5,6300368.41666667,158744.431860573
"79",10,0.05,"Thailand",80124643758684,0.548340384615384,548.340384615384,4.02,1467.3,0.1675,14673,8045798.46346153,497928.478587643
"80",10,0.05,"Vietnam",155307569551290,0.602955020161292,602.955020161292,3.44,1255.6,0.143333333333333,12556,7570703.23314519,1025714.2881479
"81",10,0.1,"Brunei",4607671170655.3,NA,NA,3.81,1390.65,0.15875,13906.5,NA,NA
"82",10,0.1,"Cambodia",4543344790472.7,0.58586,585.86,4.09,1492.85,0.170416666666667,14928.5,8746011.01,51947.6225822028
"83",10,0.1,"Indonesia",269898787866100,0.777714754098361,777.714754098361,3.67,1339.55,0.152916666666667,13395.5,10417877.9885246,2590727.09589608
"84",10,0.1,"Laos",16285951096238,0.574320952380952,574.320952380952,3.73,1361.45,0.155416666666667,13614.5,7819092.60619048,208284.412482136
"85",10,0.1,"Malaysia",116864051022130,0.670339024390244,670.339024390244,3.71,1354.15,0.154583333333333,13541.5,9077395.89878049,1287418.24555465
"86",10,0.1,"Myanmar",8734783418054.1,0.3948,394.8,4.01,1463.65,0.167083333333333,14636.5,5778490.2,151160.305127005
"87",10,0.1,"Philippines",82743445385673,0.516001886792453,516.001886792453,3.8,1387,0.158333333333333,13870,7156946.16981132,1156127.81516637
"88",10,0.1,"Singapore",20002968096321,0.486233333333333,486.233333333333,3.55,1295.75,0.147916666666667,12957.5,6300368.41666667,317488.863721147
"89",10,0.1,"Thailand",80124643758684,0.548340384615384,548.340384615384,4.02,1467.3,0.1675,14673,8045798.46346153,995856.957175287
"90",10,0.1,"Vietnam",155307569551290,0.602955020161292,602.955020161292,3.44,1255.6,0.143333333333333,12556,7570703.23314519,2051428.57629579
