Substance,Sector,edgar_country_code,country,year,co2_emissions_tonnes,code,electricity_demand_t_wh,electricity_generation_t_wh,ef_kgco2_per_kwh,ef_gco2_per_kwh,daily_pv_average,yearly_pv,solar_capacity_factor
CO2,Industrial Combustion,KHM,Cambodia,1989,0.017926244769157,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1989,0.13732411251352,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1989,0.018886486260698,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1989,0.13680281932706,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1989,0.0024811907186,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1990,0.042828960689196,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1990,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1990,0.03737899629191,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1990,0.12067791532143,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1990,0.019629390704129,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1990,0.20917087364552,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1990,0.00261640167349,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1991,0.045115240409261,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1991,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1991,0.041040039194753,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1991,0.13712828913157,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1991,0.020484716245049,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1991,0.23037421910855,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1991,0.00272094622624,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1992,0.050305482897275,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1992,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1992,0.044605882105005,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1992,0.15187060893746,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1992,0.02125728103155,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1992,0.25199891520551,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1992,0.00285476325376,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1993,0.049982101000595,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1993,4.4329543259026e-11,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1993,0.043605201045677,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1993,0.16056084127295,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1993,0.022002161408356,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1993,0.25116700046133,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1993,0.00298021671706,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1994,0.050431962886044,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1994,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1994,0.062159556400364,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1994,0.14103703442978,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1994,0.022626435515645,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1994,0.26570697838438,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1994,0.00322694186155,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1995,0.12274402095,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1995,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1995,0.02895251259,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1995,0.16100745414,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1995,0.026579060472797,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1995,1.15812373335,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1995,0.00346669736919,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1996,0.1258100167,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1996,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1996,0.04178701545,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1996,0.20241128358,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1996,0.13268317691458,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1996,1.15980051378,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1996,0.00371481644105,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1997,0.13194201539,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1997,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1997,0.0449849862,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1997,0.26078408241,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1997,0.13441320295944,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1997,1.20292826837,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1997,0.00398802620557,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1998,0.12003730607,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1998,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1998,0.05457890586,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1998,0.31229284746,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1998,0.10722562552187,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1998,1.39528370829,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1998,0.00427238738905,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1999,0.14461701208,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
